               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              2.2282,              1.9631,              2.3708,             0.79215,             0.56389,             0.64019,             0.31968,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              2.1861,              1.9253,              2.3632,             0.69809,             0.61735,             0.66129,             0.32839,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              2.2113,              1.9925,               2.389,             0.80953,             0.58163,             0.67399,             0.33774,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              2.1658,              1.9057,              2.3453,             0.76635,             0.60204,             0.67848,             0.32247,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              2.1795,              1.9504,              2.3689,             0.77741,             0.62368,             0.69804,             0.35384,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              2.1565,              1.8792,              2.3246,              0.7004,             0.66793,             0.70864,             0.36561,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              2.1223,              1.8626,              2.2795,              0.6779,             0.64428,              0.6793,             0.34861,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              2.1207,              1.8834,              2.3255,             0.77989,             0.61465,             0.71963,             0.36741,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,               2.115,              1.8529,              2.2959,             0.81307,             0.61735,             0.71151,             0.37878,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              2.1269,              1.9004,              2.3182,             0.76079,             0.66837,             0.70781,             0.34243,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              2.0999,              1.8606,              2.2863,             0.78235,             0.57143,             0.65132,              0.3177,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              2.1212,              1.8647,              2.2996,             0.77719,             0.61735,             0.71331,             0.38364,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              2.0821,              1.7555,              2.2436,             0.83201,             0.62755,              0.7153,             0.34988,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              2.0758,              1.8194,               2.261,             0.68002,             0.63975,              0.6881,             0.36839,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              2.0622,              1.7835,              2.2451,             0.76239,              0.6548,             0.72822,             0.39454,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              2.0447,              1.7183,              2.1932,             0.71776,             0.67347,             0.69909,             0.37348,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,               2.042,              1.7005,              2.2188,             0.76861,             0.66327,             0.72149,             0.38014,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              2.0313,              1.7066,              2.1919,             0.77464,             0.66327,             0.73183,             0.38836,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              2.0436,              1.7255,              2.2267,             0.79381,             0.70711,              0.7351,             0.38366,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              2.0231,              1.6935,              2.1982,             0.74884,             0.65816,             0.72381,              0.3905,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              2.0142,              1.6966,              2.1696,             0.71778,             0.68773,             0.70862,             0.39385,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
